Hyphen	Neg1	Neg2	Neg3	Pos1	Pos2	Pos3
LINC01556	0	0	0	0	0	0
LINGO1	162	154	95	130	114	122
LINGO2	2	6	13	14	42	32
LINGO3	0	0	0	0	0	0
LINGO4	0	0	0	0	0	0
LIPA	2806	2288	2366	3017	2199	2162
LIPC	0	1	0	3	5	0
LIPE	23	18	21	17	17	28
LIPF	0	0	0	0	0	0
LIPG	8411	11737	7583	15014	10167	8446
LIPH	8	8	8	6	10	10
LIPI	6	2	6	3	0	1
LIPJ	0	0	0	0	0	1
LIPK	1	0	1	0	0	0
LIPM	0	0	0	0	0	0
LIPN	0	0	0	0	0	0
LIPT1	266	206	275	237	226	197
LIPT2	41	29	44	51	49	29
LITAF	5016	5553	5873	4436	5167	5128
LIX1	5525	7627	6838	20642	14228	12818
LIX1L	609	582	445	959	917	677
LKAAEAR1	0	0	0	0	0	0
LLGL1	26	27	26	26	34	25
LLGL2	59	39	65	43	51	52
LLPH	1457	1512	1694	1686	1322	1265
LMAN1	8957	10561	9237	12725	9293	9626
LMAN1L	0	0	0	0	0	0
LMAN2	2297	2109	1978	2688	2234	2215
LMAN2L	2827	3074	2158	3630	4234	2836
LMBR1	480	484	551	474	382	423
LMBR1L	550	713	607	728	1018	805
LMBRD1	1333	1034	1252	1323	1083	1096
LMBRD2	92	107	106	153	104	118
LMCD1	240	253	234	434	331	319
LMF1	57	48	52	93	86	81
LMF2	158	153	129	207	139	174
LMLN	306	271	259	306	311	269
LMNA	349	353	321	669	496	553
LMNB1	872	812	799	853	710	684
LMNB2	375	515	393	517	315	380
LMNTD1	30	42	46	19	27	16
LMNTD2	0	0	0	0	0	0
LMO1	4	10	24	25	16	34
LMO2	73	86	67	379	173	179
LMO3	40	13	43	93	63	66
LMO4	617	477	635	672	640	714
LMO7	177	74	121	98	69	70
LMOD1	2	1	0	2	1	1
LMOD2	6	6	9	4	14	8
LMOD3	8	28	24	20	11	39
LMTK2	265	247	251	297	322	243
LMTK3	3	8	3	3	4	2
LMX1A	5	19	4	7	3	1
LMX1B	1	1	0	3	0	1
LNP1	282	306	320	219	276	224
LNPEP	446	415	432	1096	936	784
LNX1	36	25	51	39	40	40
LNX2	313	156	286	196	115	94
LONP1	342	328	335	377	333	374
LONP2	3049	2891	2173	3143	4263	2517
LONRF1	570	407	536	366	284	355
LONRF2	17	0	4	11	11	3
LONRF3	3	9	7	3	6	4
LOX	25	19	43	48	79	146
LOXHD1	16	0	2	1	0	0
LOXL1	44	70	65	211	135	182
LOXL2	452	568	637	1171	1227	1342
LOXL3	223	268	256	388	517	442
LOXL4	43	50	37	31	62	89
LPA	0	0	0	1	0	0
LPAR1	125	79	83	97	72	45
LPAR2	794	740	562	807	861	550
LPAR3	47	62	77	53	30	29
LPAR4	165	194	174	193	156	235
LPAR5	4	12	15	12	15	19
LPAR6	414	316	525	853	617	596
LPCAT1	12	13	7	13	5	8
LPCAT2	50	72	103	58	53	85
LPCAT3	452	596	561	424	488	545
LPCAT4	384	427	345	386	506	393
LPGAT1	1171	1481	1124	2756	2343	1720
LPIN1	1199	1505	1029	2155	1609	1370
LPIN2	445	459	482	553	520	523
LPIN3	369	415	445	328	803	482
LPL	5	0	16	11	17	16
LPO	0	0	6	0	2	0
LPP	2095	1742	1614	1889	1883	1779
LPXN	59	62	59	45	68	41
LRAT	110	23	96	42	18	15
LRBA	508	456	542	284	360	333
LRCH1	270	232	217	269	220	228
LRCH2	36	26	45	71	53	38
LRCH3	978	802	709	940	818	831
LRCH4	4	7	4	4	8	4
LRCOL1	0	0	0	0	0	0
LRFN1	6	4	3	3	4	6
LRFN2	0	0	1	0	0	0
LRFN3	9	8	11	7	8	10
LRFN4	4	2	2	2	8	2
LRFN5	376	315	297	279	221	218
LRG1	24	31	15	10	14	9
LRGUK	27	32	33	50	50	29
LRIF1	1442	1554	1773	1658	1423	1295
LRIG1	102	57	111	47	157	110
LRIG2	847	835	928	730	886	835
LRIG3	212	207	255	105	182	294
LRIT1	0	0	0	0	0	0
LRIT2	2	1	4	2	6	0
LRIT3	2	11	3	13	9	6
LRP1	726	703	818	626	1093	1146
LRP10	392	257	205	234	257	194
LRP11	90	55	80	181	199	137
LRP12	921	764	824	1082	900	897
LRP1B	37	58	68	67	281	200
LRP2	33	30	53	13	42	46
LRP2BP	263	223	178	205	271	285
LRP3	15	16	15	19	17	10
LRP4	1092	766	689	634	1022	715
LRP5	42	62	35	64	96	51
LRP6	869	983	1003	760	917	844
LRP8	667	520	579	667	470	381
LRPAP1	2349	2375	2090	3220	2638	2365
LRPPRC	5653	5917	5184	6751	5104	4575
LRR1	2386	2657	2041	2738	2103	1806
LRRC1	139	113	151	171	146	110
LRRC10	0	0	2	0	0	0
LRRC10B	1	0	0	0	3	0
LRRC14	222	245	204	253	252	167
LRRC14B	0	0	0	0	0	0
LRRC15	2	2	6	3	1	2
LRRC17	17	17	16	97	40	38
LRRC18	4	1	1	0	4	0
LRRC19	14	12	19	17	8	5
LRRC2	372	441	317	371	304	216
LRRC20	98	61	61	39	75	24
LRRC23	53	50	87	40	76	79
LRRC24	0	0	0	0	0	0
LRRC25	1	2	1	0	1	1
LRRC26	0	0	0	0	0	0
LRRC27	73	98	63	97	146	128
LRRC28	667	841	587	944	902	853
LRRC3	42	28	41	35	24	36
LRRC30	0	0	0	0	0	0
LRRC31	0	0	0	0	0	0
LRRC32	133	277	239	225	597	543
LRRC34	121	154	148	185	113	130
LRRC36	3	1	0	4	2	3
LRRC37A	1	0	0	0	0	0
LRRC37A2	1	0	0	0	0	0
LRRC37A3	24	24	19	20	25	11
LRRC37B	132	109	114	108	100	132
LRRC38	0	1	0	0	0	0
LRRC39	8	11	12	20	15	13
LRRC3B	38	12	5	6	7	6
